unit_number,area,price,available_on,display_lease_term
0110,912,3243,2024-11-07,12
0203,912,3268,2024-12-22,13
0205,912,3268,2024-12-16,13
0404,912,3168,2025-01-27,13
0507,912,3268,2024-11-07,12
0802,912,3243,2024-11-13,13
0805,912,3368,2024-11-07,12
0809,912,3368,2024-11-07,12
0906,912,3243,2024-11-07,12
1005,912,3268,2024-11-07,12
1006,912,3218,2024-11-07,12
1007,912,3268,2024-11-21,13
1101,659,2997,2024-12-21,13
1110,659,2947,2024-12-08,13
1202,912,3343,2024-11-07,12
1305,659,3012,2024-11-07,13
1408,912,3218,2024-11-07,12
